City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
360,yonago,35.4333,133.3333,275.11,55,92,6.78,1703138400
361,nieder-ingelheim,49.9776,8.0725,281.53,92,100,10.4,1703138400
362,cullman,34.1748,-86.8436,277.28,48,41,1.55,1703138400
363,schlusselfeld,49.7667,10.6333,278.61,93,100,11.07,1703138400
364,villa regina,-39.1,-67.0667,291.47,31,0,5.5,1703138400
365,gatton,-27.55,152.2833,299.94,75,100,0.69,1703138400
366,bergkirchen,48.25,11.3667,278.02,80,100,14.67,1703138400
367,tobruk,32.0836,23.9764,285.79,54,39,8.74,1703138400
368,kurumkan,54.3,110.3,252.58,90,20,1.4,1703138400
369,qinggang,46.6833,126.0833,253.94,88,51,2.23,1703138400
370,harper,4.375,-7.7169,296.74,77,51,4.09,1703138400
371,praya,14.9215,-23.5087,295.2,68,21,9.33,1703138400
372,abdanan,32.9926,47.4198,284.25,63,2,1.88,1703138400
373,rongelap,11.1635,166.8941,300.26,82,56,9.87,1703138400
374,rauma,61.1272,21.5113,268.58,96,98,4.82,1703138400
375,maumere,-8.6199,122.2111,302.45,72,80,1.39,1703138400
376,san pedro pochutla,15.7333,-96.4667,293.19,57,0,0.96,1703138400
377,torata,-17.0769,-70.8433,288.69,70,100,3.67,1703138400
378,itoman,26.1247,127.6694,289.23,59,92,10.38,1703138400
379,ma'an,26.9775,110.7211,279.49,35,2,1.74,1703138400
380,hammerfest,70.6634,23.6821,269.4,63,66,4.99,1703138400
381,vilyuchinsk,52.9306,158.4028,259.22,63,0,3.93,1703138400
382,grand gaube,-20.0064,57.6608,303.36,81,99,3.75,1703138400
383,white house,36.4703,-86.6514,277.05,46,94,2.1,1703138400
384,sereflikochisar,38.9393,33.5386,279.74,73,100,2.77,1703138400
385,fale old settlement,-9.3852,-171.2468,302.06,75,100,3.04,1703138400
386,viqueque,-8.8673,126.3658,304.0,71,90,1.08,1703138400
387,cabanas,22.9758,-82.9219,293.84,79,75,6.91,1703138400
388,dunedin,-45.8742,170.5036,285.26,91,100,3.66,1703138400
389,mananjary,-21.2167,48.3333,302.9,63,16,3.96,1703138400
390,boende,-0.2167,20.8667,297.05,92,98,1.32,1703138400
391,baiti,13.745,-14.7482,292.6,14,74,5.53,1703138400
392,golfito,8.639,-83.166,296.0,93,88,0.79,1703138400
393,borba,-4.3878,-59.5939,296.15,98,99,2.08,1703138400
394,belmonte,-15.8631,-38.8828,296.65,93,100,2.58,1703138400
395,mundemba,4.9479,8.8724,297.84,89,65,4.5,1703138400
